"","date","Recess","realtime_start","realtime_end","UnempRate","GSPC.Volume","GSPC.Close"
"1826",2007-01-01,0,2025-11-03,2025-11-03,4.6,56686200000,1438.23999023438
"1827",2007-02-01,0,2025-11-03,2025-11-03,4.5,51844990000,1406.81994628906
"1828",2007-03-01,0,2025-11-03,2025-11-03,4.4,67622250000,1420.85998535156
"1829",2007-04-01,0,2025-11-03,2025-11-03,4.5,57032470000,1482.36999511719
"1830",2007-05-01,0,2025-11-03,2025-11-03,4.4,64958050000,1530.61999511719
"1831",2007-06-01,0,2025-11-03,2025-11-03,4.6,65322800000,1503.34997558594
"1832",2007-07-01,0,2025-11-03,2025-11-03,4.7,70337430000,1455.27001953125
"1833",2007-08-01,0,2025-11-03,2025-11-03,4.6,91381760000,1473.98999023438
"1834",2007-09-01,0,2025-11-03,2025-11-03,4.7,57809700000,1526.75
"1835",2007-10-01,0,2025-11-03,2025-11-03,4.7,76022580000,1549.38000488281
"1836",2007-11-01,0,2025-11-03,2025-11-03,4.7,86246950000,1481.14001464844
"1837",2007-12-01,0,2025-11-03,2025-11-03,5,64821670000,1468.35998535156
"1838",2008-01-01,1,2025-11-03,2025-11-03,5,98475340000,1378.55004882812
"1839",2008-02-01,1,2025-11-03,2025-11-03,4.9,78536130000,1330.63000488281
"1840",2008-03-01,1,2025-11-03,2025-11-03,5.1,93189170000,1322.69995117188
"1841",2008-04-01,1,2025-11-03,2025-11-03,5,85978630000,1385.58996582031
"1842",2008-05-01,1,2025-11-03,2025-11-03,5.4,80990480000,1400.38000488281
"1843",2008-06-01,1,2025-11-03,2025-11-03,5.6,96614040000,1280
"1844",2008-07-01,1,2025-11-03,2025-11-03,5.8,124980570000,1267.38000488281
"1845",2008-08-01,1,2025-11-03,2025-11-03,6.1,86266010000,1282.82995605469
"1846",2008-09-01,1,2025-11-03,2025-11-03,6.1,140007320000,1166.35998535156
"1847",2008-10-01,1,2025-11-03,2025-11-03,6.5,159823030000,968.75
"1848",2008-11-01,1,2025-11-03,2025-11-03,6.8,115660210000,896.239990234375
"1849",2008-12-01,1,2025-11-03,2025-11-03,7.3,112884470000,903.25
"1850",2009-01-01,1,2025-11-03,2025-11-03,7.8,112090640000,825.880004882812
"1851",2009-02-01,1,2025-11-03,2025-11-03,8.3,124492210000,735.090026855469
"1852",2009-03-01,1,2025-11-03,2025-11-03,8.7,161843640000,797.869995117188
"1853",2009-04-01,1,2025-11-03,2025-11-03,9,138855320000,872.809997558594
"1854",2009-05-01,1,2025-11-03,2025-11-03,9.4,131614940000,919.140014648438
"1855",2009-06-01,1,2025-11-03,2025-11-03,9.5,112653150000,919.320007324219
"1856",2009-07-01,0,2025-11-03,2025-11-03,9.5,106635790000,987.47998046875
"1857",2009-08-01,0,2025-11-03,2025-11-03,9.6,116059270000,1020.61999511719
"1858",2009-09-01,0,2025-11-03,2025-11-03,9.8,112295490000,1057.07995605469
"1859",2009-10-01,0,2025-11-03,2025-11-03,10,113410990000,1036.18994140625
"1860",2009-11-01,0,2025-11-03,2025-11-03,9.9,84981530000,1095.63000488281
"1861",2009-12-01,0,2025-11-03,2025-11-03,9.9,89515330000,1115.09997558594
"1862",2010-01-01,0,2025-11-03,2025-11-03,9.8,90947580000,1073.86999511719
"1863",2010-02-01,0,2025-11-03,2025-11-03,9.8,84561340000,1104.48999023438
"1864",2010-03-01,0,2025-11-03,2025-11-03,9.9,103683550000,1169.43005371094
"1865",2010-04-01,0,2025-11-03,2025-11-03,9.9,116741910000,1186.68994140625
"1866",2010-05-01,0,2025-11-03,2025-11-03,9.6,127662780000,1089.41003417969
"1867",2010-06-01,0,2025-11-03,2025-11-03,9.4,110106750000,1030.7099609375
"1868",2010-07-01,0,2025-11-03,2025-11-03,9.4,94778110000,1101.59997558594
"1869",2010-08-01,0,2025-11-03,2025-11-03,9.5,85738250000,1049.32995605469
"1870",2010-09-01,0,2025-11-03,2025-11-03,9.5,79589450000,1141.19995117188
"1871",2010-10-01,0,2025-11-03,2025-11-03,9.4,89536270000,1183.26000976562
"1872",2010-11-01,0,2025-11-03,2025-11-03,9.8,87151070000,1180.55004882812
"1873",2010-12-01,0,2025-11-03,2025-11-03,9.3,80984530000,1257.64001464844
"1874",2011-01-01,0,2025-11-03,2025-11-03,9.1,92164940000,1286.11999511719
"1875",2011-02-01,0,2025-11-03,2025-11-03,9,59223660000,1327.21997070312
"1876",2011-03-01,0,2025-11-03,2025-11-03,9,89507640000,1325.82995605469
"1877",2011-04-01,0,2025-11-03,2025-11-03,9.1,77364810000,1363.60998535156
"1878",2011-05-01,0,2025-11-03,2025-11-03,9,81708980000,1345.19995117188
"1879",2011-06-01,0,2025-11-03,2025-11-03,9.1,86122730000,1320.64001464844
"1880",2011-07-01,0,2025-11-03,2025-11-03,9,81102170000,1292.28002929688
"1881",2011-08-01,0,2025-11-03,2025-11-03,9,108419170000,1218.89001464844
"1882",2011-09-01,0,2025-11-03,2025-11-03,9,102786820000,1131.42004394531
"1883",2011-10-01,0,2025-11-03,2025-11-03,8.8,98063670000,1253.30004882812
"1884",2011-11-01,0,2025-11-03,2025-11-03,8.6,84275050000,1246.9599609375
"1885",2011-12-01,0,2025-11-03,2025-11-03,8.5,74742430000,1257.59997558594
"1886",2012-01-01,0,2025-11-03,2025-11-03,8.3,79567560000,1312.41003417969
"1887",2012-02-01,0,2025-11-03,2025-11-03,8.3,78385710000,1365.68005371094
"1888",2012-03-01,0,2025-11-03,2025-11-03,8.2,83899660000,1408.46997070312
"1889",2012-04-01,0,2025-11-03,2025-11-03,8.2,74761710000,1397.91003417969
"1890",2012-05-01,0,2025-11-03,2025-11-03,8.2,86920490000,1310.32995605469
"1891",2012-06-01,0,2025-11-03,2025-11-03,8.2,81582440000,1362.16003417969
"1892",2012-07-01,0,2025-11-03,2025-11-03,8.2,73103810000,1379.31994628906
"1893",2012-08-01,0,2025-11-03,2025-11-03,8.1,70283810000,1406.57995605469
"1894",2012-09-01,0,2025-11-03,2025-11-03,7.8,69784280000,1440.67004394531
"1895",2012-10-01,0,2025-11-03,2025-11-03,7.8,71752320000,1412.16003417969
"1896",2012-11-01,0,2025-11-03,2025-11-03,7.7,71489310000,1416.18005371094
"1897",2012-12-01,0,2025-11-03,2025-11-03,7.9,66388180000,1426.18994140625
"1898",2013-01-01,0,2025-11-03,2025-11-03,8,75848510000,1498.10998535156
"1899",2013-02-01,0,2025-11-03,2025-11-03,7.7,69273480000,1514.68005371094
"1900",2013-03-01,0,2025-11-03,2025-11-03,7.5,68527110000,1569.18994140625
"1901",2013-04-01,0,2025-11-03,2025-11-03,7.6,7.7098e+10,1597.56994628906
"1902",2013-05-01,0,2025-11-03,2025-11-03,7.5,76447250000,1630.73999023438
"1903",2013-06-01,0,2025-11-03,2025-11-03,7.5,74946790000,1606.28002929688
"1904",2013-07-01,0,2025-11-03,2025-11-03,7.3,68106820000,1685.72998046875
"1905",2013-08-01,0,2025-11-03,2025-11-03,7.2,64802810000,1632.96997070312
"1906",2013-09-01,0,2025-11-03,2025-11-03,7.2,66174410000,1681.55004882812
"1907",2013-10-01,0,2025-11-03,2025-11-03,7.2,76647400000,1756.5400390625
"1908",2013-11-01,0,2025-11-03,2025-11-03,6.9,63628190000,1805.81005859375
"1909",2013-12-01,0,2025-11-03,2025-11-03,6.7,64958820000,1848.35998535156
"1910",2014-01-01,0,2025-11-03,2025-11-03,6.6,75871910000,1782.58996582031
"1911",2014-02-01,0,2025-11-03,2025-11-03,6.7,69725590000,1859.44995117188
"1912",2014-03-01,0,2025-11-03,2025-11-03,6.7,71885030000,1872.33996582031
"1913",2014-04-01,0,2025-11-03,2025-11-03,6.2,71595810000,1883.94995117188
"1914",2014-05-01,0,2025-11-03,2025-11-03,6.3,63623630000,1923.56994628906
"1915",2014-06-01,0,2025-11-03,2025-11-03,6.1,63283380000,1960.22998046875
"1916",2014-07-01,0,2025-11-03,2025-11-03,6.2,66524690000,1930.67004394531
"1917",2014-08-01,0,2025-11-03,2025-11-03,6.1,58131140000,2003.36999511719
"1918",2014-09-01,0,2025-11-03,2025-11-03,5.9,6.6706e+10,1972.2900390625
"1919",2014-10-01,0,2025-11-03,2025-11-03,5.7,93714040000,2018.05004882812
"1920",2014-11-01,0,2025-11-03,2025-11-03,5.8,63600190000,2067.56005859375
"1921",2014-12-01,0,2025-11-03,2025-11-03,5.6,80743820000,2058.89990234375
"1922",2015-01-01,0,2025-11-03,2025-11-03,5.7,77330040000,1994.98999023438
"1923",2015-02-01,0,2025-11-03,2025-11-03,5.5,68775560000,2104.5
"1924",2015-03-01,0,2025-11-03,2025-11-03,5.4,76675850000,2067.88989257812
"1925",2015-04-01,0,2025-11-03,2025-11-03,5.4,72060940000,2085.51000976562
"1926",2015-05-01,0,2025-11-03,2025-11-03,5.6,65187730000,2107.38989257812
"1927",2015-06-01,0,2025-11-03,2025-11-03,5.3,73213980000,2063.11010742188
"1928",2015-07-01,0,2025-11-03,2025-11-03,5.2,77920590000,2103.84008789062
"1929",2015-08-01,0,2025-11-03,2025-11-03,5.1,84626790000,1972.18005371094
"1930",2015-09-01,0,2025-11-03,2025-11-03,5,79989370000,1920.03002929688
"1931",2015-10-01,0,2025-11-03,2025-11-03,5,85844900000,2079.36010742188
"1932",2015-11-01,0,2025-11-03,2025-11-03,5.1,75943590000,2080.40991210938
"1933",2015-12-01,0,2025-11-03,2025-11-03,5,83649260000,2043.93994140625
"1934",2016-01-01,0,2025-11-03,2025-11-03,4.8,92409770000,1940.23999023438
"1935",2016-02-01,0,2025-11-03,2025-11-03,4.9,93049560000,1932.22998046875
"1936",2016-03-01,0,2025-11-03,2025-11-03,5,92639420000,2059.73999023438
"1937",2016-04-01,0,2025-11-03,2025-11-03,5.1,81124990000,2065.30004882812
"1938",2016-05-01,0,2025-11-03,2025-11-03,4.8,78883600000,2096.94995117188
"1939",2016-06-01,0,2025-11-03,2025-11-03,4.9,86852700000,2098.86010742188
"1940",2016-07-01,0,2025-11-03,2025-11-03,4.8,69530250000,2173.60009765625
"1941",2016-08-01,0,2025-11-03,2025-11-03,4.9,75610310000,2170.94995117188
"1942",2016-09-01,0,2025-11-03,2025-11-03,5,77023620000,2168.27001953125
"1943",2016-10-01,0,2025-11-03,2025-11-03,4.9,72915530000,2126.14990234375
"1944",2016-11-01,0,2025-11-03,2025-11-03,4.7,88445380000,2198.81005859375
"1945",2016-12-01,0,2025-11-03,2025-11-03,4.7,75344550000,2238.830078125
"1946",2017-01-01,0,2025-11-03,2025-11-03,4.7,70576420000,2278.8701171875
"1947",2017-02-01,0,2025-11-03,2025-11-03,4.6,69260940000,2363.63989257812
"1948",2017-03-01,0,2025-11-03,2025-11-03,4.4,81664010000,2362.71997070312
"1949",2017-04-01,0,2025-11-03,2025-11-03,4.4,65369860000,2384.19995117188
"1950",2017-05-01,0,2025-11-03,2025-11-03,4.4,79719460000,2411.80004882812
"1951",2017-06-01,0,2025-11-03,2025-11-03,4.3,81078810000,2423.40991210938
"1952",2017-07-01,0,2025-11-03,2025-11-03,4.3,63348090000,2470.30004882812
"1953",2017-08-01,0,2025-11-03,2025-11-03,4.4,70784900000,2471.64990234375
"1954",2017-09-01,0,2025-11-03,2025-11-03,4.3,66624120000,2519.36010742188
"1955",2017-10-01,0,2025-11-03,2025-11-03,4.2,71088550000,2575.26000976562
"1956",2017-11-01,0,2025-11-03,2025-11-03,4.2,73416960000,2647.580078125
"1957",2017-12-01,0,2025-11-03,2025-11-03,4.1,65531700000,2673.61010742188
"1958",2018-01-01,0,2025-11-03,2025-11-03,4,77318690000,2823.81005859375
"1959",2018-02-01,0,2025-11-03,2025-11-03,4.1,79933970000,2713.830078125
"1960",2018-03-01,0,2025-11-03,2025-11-03,4,76803890000,2640.8701171875
"1961",2018-04-01,0,2025-11-03,2025-11-03,4,70194700000,2648.05004882812
"1962",2018-05-01,0,2025-11-03,2025-11-03,3.8,76011820000,2705.27001953125
"1963",2018-06-01,0,2025-11-03,2025-11-03,4,77891360000,2718.3701171875
"1964",2018-07-01,0,2025-11-03,2025-11-03,3.8,64898300000,2816.2900390625
"1965",2018-08-01,0,2025-11-03,2025-11-03,3.8,69523070000,2901.52001953125
"1966",2018-09-01,0,2025-11-03,2025-11-03,3.7,63031510000,2913.97998046875
"1967",2018-10-01,0,2025-11-03,2025-11-03,3.8,91930980000,2711.73999023438
"1968",2018-11-01,0,2025-11-03,2025-11-03,3.8,80620020000,2760.169921875
"1969",2018-12-01,0,2025-11-03,2025-11-03,3.9,84162180000,2506.85009765625
"1970",2019-01-01,0,2025-11-03,2025-11-03,4,80859870000,2704.10009765625
"1971",2019-02-01,0,2025-11-03,2025-11-03,3.8,70638770000,2784.48999023438
"1972",2019-03-01,0,2025-11-03,2025-11-03,3.8,79159660000,2834.39990234375
"1973",2019-04-01,0,2025-11-03,2025-11-03,3.7,70090370000,2945.830078125
"1974",2019-05-01,0,2025-11-03,2025-11-03,3.6,77250740000,2752.06005859375
"1975",2019-06-01,0,2025-11-03,2025-11-03,3.6,71250630000,2941.76000976562
"1976",2019-07-01,0,2025-11-03,2025-11-03,3.7,70599470000,2980.3798828125
"1977",2019-08-01,0,2025-11-03,2025-11-03,3.6,80269220000,2926.4599609375
"1978",2019-09-01,0,2025-11-03,2025-11-03,3.5,74178980000,2976.73999023438
"1979",2019-10-01,0,2025-11-03,2025-11-03,3.6,77720640000,3037.56005859375
"1980",2019-11-01,0,2025-11-03,2025-11-03,3.6,72410620000,3140.97998046875
"1981",2019-12-01,0,2025-11-03,2025-11-03,3.6,72325540000,3230.78002929688
"1982",2020-01-01,0,2025-11-03,2025-11-03,3.6,77287980000,3225.52001953125
"1983",2020-02-01,0,2025-11-03,2025-11-03,3.5,84436590000,2954.21997070312
"1984",2020-03-01,1,2025-11-03,2025-11-03,4.4,162185380000,2584.59008789062
"1985",2020-04-01,1,2025-11-03,2025-11-03,14.8,123608160000,2912.42993164062
"1986",2020-05-01,0,2025-11-03,2025-11-03,13.2,107135190000,3044.31005859375
"1987",2020-06-01,0,2025-11-03,2025-11-03,11,131458880000,3100.2900390625
"1988",2020-07-01,0,2025-11-03,2025-11-03,10.2,96928130000,3271.1201171875
"1989",2020-08-01,0,2025-11-03,2025-11-03,8.4,82466520000,3500.31005859375
"1990",2020-09-01,0,2025-11-03,2025-11-03,7.8,92310780000,3363
"1991",2020-10-01,0,2025-11-03,2025-11-03,6.9,89938980000,3269.9599609375
"1992",2020-11-01,0,2025-11-03,2025-11-03,6.7,101247180000,3621.6298828125
"1993",2020-12-01,0,2025-11-03,2025-11-03,6.7,96375680000,3756.07006835938
"1994",2021-01-01,0,2025-11-03,2025-11-03,6.4,106117800000,3714.23999023438
"1995",2021-02-01,0,2025-11-03,2025-11-03,6.2,99082320000,3811.14990234375
"1996",2021-03-01,0,2025-11-03,2025-11-03,6.1,122371150000,3972.88989257812
"1997",2021-04-01,0,2025-11-03,2025-11-03,6.1,83124090000,4181.169921875
"1998",2021-05-01,0,2025-11-03,2025-11-03,5.8,88321860000,4204.10986328125
"1999",2021-06-01,0,2025-11-03,2025-11-03,5.9,102544180000,4297.5
"2000",2021-07-01,0,2025-11-03,2025-11-03,5.4,84255620000,4395.259765625
"2001",2021-08-01,0,2025-11-03,2025-11-03,5.1,80500760000,4522.68017578125
"2002",2021-09-01,0,2025-11-03,2025-11-03,4.7,85528860000,4307.5400390625
"2003",2021-10-01,0,2025-11-03,2025-11-03,4.5,80253600000,4605.3798828125
"2004",2021-11-01,0,2025-11-03,2025-11-03,4.2,88268840000,4567
"2005",2021-12-01,0,2025-11-03,2025-11-03,3.9,92750180000,4766.18017578125
"2006",2022-01-01,0,2025-11-03,2025-11-03,4,95562890000,4515.5498046875
"2007",2022-02-01,0,2025-11-03,2025-11-03,3.8,92667710000,4373.93994140625
"2008",2022-03-01,0,2025-11-03,2025-11-03,3.7,123546260000,4530.41015625
"2009",2022-04-01,0,2025-11-03,2025-11-03,3.7,90367840000,4131.93017578125
"2010",2022-05-01,0,2025-11-03,2025-11-03,3.6,108860390000,4132.14990234375
"2011",2022-06-01,0,2025-11-03,2025-11-03,3.6,106116710000,3785.3798828125
"2012",2022-07-01,0,2025-11-03,2025-11-03,3.5,81688320000,4130.2900390625
"2013",2022-08-01,0,2025-11-03,2025-11-03,3.6,92252350000,3955
"2014",2022-09-01,0,2025-11-03,2025-11-03,3.5,94241020000,3585.6201171875
"2015",2022-10-01,0,2025-11-03,2025-11-03,3.6,95823760000,3871.97998046875
"2016",2022-11-01,0,2025-11-03,2025-11-03,3.6,92671910000,4080.11010742188
"2017",2022-12-01,0,2025-11-03,2025-11-03,3.5,85249330000,3839.5
"2018",2023-01-01,0,2025-11-03,2025-11-03,3.5,80763810000,4076.60009765625
"2019",2023-02-01,0,2025-11-03,2025-11-03,3.6,80392280000,3970.14990234375
"2020",2023-03-01,0,2025-11-03,2025-11-03,3.5,113094800000,4109.31005859375
"2021",2023-04-01,0,2025-11-03,2025-11-03,3.4,70861260000,4169.47998046875
"2022",2023-05-01,0,2025-11-03,2025-11-03,3.6,85190040000,4179.830078125
"2023",2023-06-01,0,2025-11-03,2025-11-03,3.6,87983140000,4450.3798828125
"2024",2023-07-01,0,2025-11-03,2025-11-03,3.5,75063200000,4588.9599609375
"2025",2023-08-01,0,2025-11-03,2025-11-03,3.7,86840820000,4507.66015625
"2026",2023-09-01,0,2025-11-03,2025-11-03,3.8,73482980000,4288.0498046875
"2027",2023-10-01,0,2025-11-03,2025-11-03,3.9,83519460000,4193.7998046875
"2028",2023-11-01,0,2025-11-03,2025-11-03,3.7,80970570000,4567.7998046875
"2029",2023-12-01,0,2025-11-03,2025-11-03,3.8,81530670000,4769.830078125
"2030",2024-01-01,0,2025-11-03,2025-11-03,3.7,81737880000,4845.64990234375
"2031",2024-02-01,0,2025-11-03,2025-11-03,3.9,82066930000,5096.27001953125
"2032",2024-03-01,0,2025-11-03,2025-11-03,3.9,86299510000,5254.35009765625
"2033",2024-04-01,0,2025-11-03,2025-11-03,3.9,81747170000,5035.68994140625
"2034",2024-05-01,0,2025-11-03,2025-11-03,4,86849720000,5277.509765625
"2035",2024-06-01,0,2025-11-03,2025-11-03,4.1,76025620000,5460.47998046875
"2036",2024-07-01,0,2025-11-03,2025-11-03,4.2,80160390000,5522.2998046875
"2037",2024-08-01,0,2025-11-03,2025-11-03,4.2,81097300000,5648.39990234375
"2038",2024-09-01,0,2025-11-03,2025-11-03,4.1,79564830000,5762.47998046875
"2039",2024-10-01,0,2025-11-03,2025-11-03,4.1,82412430000,5705.4501953125
"2040",2024-11-01,0,2025-11-03,2025-11-03,4.2,84101980000,6032.3798828125
"2041",2024-12-01,0,2025-11-03,2025-11-03,4.1,86064900000,5881.6298828125
